frame_id,timestamp,contact_label,dist_raw,dist_local,v_n,a_n,sigma_d,v_t,approach_theta,shadow_score,flow_mag,brightness_contact,dist2d_palm_0,dist2d_palm_5,dist2d_palm_9,dist2d_palm_13,dist2d_palm_17,hull_overlap_ratio,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
19,1777889590.552749,,-78.9210,-15.1709,,,,,,5.7935,,168.1073,1640.3336,1339.5572,1216.8036,1157.1842,1144.5816,0.000000,0.866847,1.230077,0.000001,0.923690,1.034973,-0.050341,0.921040,0.836273,-0.086848,0.889879,0.682968,-0.117109,0.875258,0.542169,-0.150146,0.862530,0.773030,-0.100778,0.798786,0.556825,-0.151032,0.743235,0.438079,-0.177698,0.691639,0.347666,-0.195535,0.782411,0.853963,-0.101995,0.699626,0.637601,-0.150731,0.636179,0.508528,-0.177883,0.582739,0.407332,-0.196193,0.716352,0.965081,-0.105468,0.623000,0.783975,-0.150072,0.559117,0.667793,-0.177060,0.507866,0.564325,-0.194854,0.666693,1.085998,-0.110631,0.592057,0.964474,-0.152229,0.544440,0.878179,-0.173601,0.506097,0.789607,-0.186632
20,1777889590.620035,,-77.6472,-98.3489,1.2739,,0.6369,97.8793,78.5483,3.9006,0.0097,142.3866,1634.3748,1335.5032,1219.8892,1168.4305,1151.3751,0.000000,0.861605,1.274258,0.000001,0.916380,1.107093,-0.064312,0.909411,0.897993,-0.095627,0.873492,0.717523,-0.120034,0.858819,0.553331,-0.145567,0.824724,0.779527,-0.080192,0.775759,0.561777,-0.130379,0.731028,0.431861,-0.163739,0.683601,0.328603,-0.187200,0.747440,0.835007,-0.078147,0.674170,0.622481,-0.126460,0.615546,0.495385,-0.160832,0.562359,0.392543,-0.184283,0.688598,0.932192,-0.082156,0.602628,0.749188,-0.130156,0.540858,0.634995,-0.159085,0.490134,0.535238,-0.176874,0.644125,1.055760,-0.090505,0.569348,0.928565,-0.136631,0.520966,0.844332,-0.158453,0.480090,0.759158,-0.170168
21,1777889590.686094,,-55.9587,0.6812,21.6885,20.4146,10.5371,97.1542,31.9020,4.9082,0.0042,145.2739,1618.2831,1346.4802,1222.1768,1158.7519,1136.8778,0.000000,0.857435,1.314823,0.000001,0.902164,1.118778,-0.059231,0.891146,0.902481,-0.084153,0.853681,0.716770,-0.105065,0.841254,0.544182,-0.125753,0.805538,0.783827,-0.040109,0.759846,0.571430,-0.080406,0.717091,0.447197,-0.112629,0.671221,0.346140,-0.136374,0.735713,0.843236,-0.038108,0.663983,0.638337,-0.076138,0.607239,0.516373,-0.111273,0.553381,0.412510,-0.136792,0.679446,0.941062,-0.044320,0.597517,0.765099,-0.083684,0.539789,0.651804,-0.112353,0.489664,0.548659,-0.131519,0.634205,1.063751,-0.055746,0.565758,0.934341,-0.091873,0.522756,0.849203,-0.110312,0.485305,0.760305,-0.121812
22,1777889590.753699,,-40.8395,55.5209,15.1192,-6.5693,15.8762,151.3841,39.3454,5.4737,0.0086,148.8233,1603.1086,1372.7145,1253.3313,1185.0984,1159.2658,0.000000,0.856127,1.348121,0.000001,0.905108,1.133205,-0.056023,0.898773,0.918886,-0.076423,0.866689,0.736458,-0.094511,0.850151,0.568468,-0.111715,0.819432,0.811724,-0.015229,0.768431,0.606607,-0.045932,0.723461,0.487204,-0.075148,0.678412,0.387462,-0.097476,0.750660,0.870966,-0.010674,0.676951,0.670951,-0.038903,0.617066,0.551301,-0.073943,0.561722,0.450004,-0.100585,0.691311,0.963443,-0.015403,0.612301,0.790316,-0.045899,0.553139,0.677036,-0.075727,0.502787,0.580148,-0.096895,0.641108,1.074255,-0.025707,0.577636,0.952144,-0.053296,0.535048,0.869191,-0.071058,0.499020,0.783928,-0.083545
23,1777889590.819027,,-48.0964,42.9049,-7.2569,-22.3761,15.4541,113.3294,113.7001,4.6604,0.0081,143.0725,1594.6404,1371.9982,1256.3429,1189.8641,1157.8361,0.000000,0.875207,1.355202,0.000001,0.917716,1.152001,-0.050503,0.906728,0.938216,-0.069139,0.873398,0.759683,-0.085199,0.858111,0.600778,-0.100963,0.826195,0.832940,-0.028172,0.773788,0.635086,-0.061940,0.730011,0.516521,-0.090893,0.685474,0.416605,-0.112839,0.757712,0.888132,-0.026166,0.685410,0.696991,-0.058407,0.626181,0.578975,-0.091294,0.570618,0.481635,-0.115571,0.701684,0.978645,-0.031622,0.619571,0.808697,-0.065635,0.560822,0.697971,-0.093601,0.509118,0.603038,-0.112655,0.657004,1.088383,-0.041521,0.589635,0.970391,-0.072504,0.545705,0.892075,-0.089843,0.507998,0.814165,-0.100938
24,1777889590.886066,,-53.0798,32.9535,-4.9834,2.2734,14.3614,129.7655,125.8199,4.7054,0.0050,142.3519,1539.8238,1340.8450,1218.0561,1146.3694,1111.3108,0.000000,0.886079,1.346230,0.000001,0.919162,1.158671,-0.051636,0.899629,0.949333,-0.074572,0.862678,0.772206,-0.093989,0.850356,0.611428,-0.112934,0.818037,0.849647,-0.040419,0.762981,0.651846,-0.077177,0.717380,0.538870,-0.105822,0.671198,0.445578,-0.127324,0.754703,0.904034,-0.038260,0.681551,0.713651,-0.073931,0.621696,0.600539,-0.105471,0.566143,0.512334,-0.128369,0.704740,0.991170,-0.042886,0.618102,0.829003,-0.079175,0.557872,0.723889,-0.106242,0.505826,0.637300,-0.124773,0.668846,1.094730,-0.051656,0.596279,0.986514,-0.085087,0.549373,0.917095,-0.103349,0.509498,0.851331,-0.115021
25,1777889590.952575,,-62.7072,19.4777,-9.6274,-4.6440,13.3562,69.8788,146.6475,6.5545,0.0054,147.0270,1533.9341,1321.9001,1197.1728,1127.3237,1094.0104,0.000000,0.883985,1.357316,0.000001,0.920047,1.177166,-0.059965,0.902810,0.976216,-0.091106,0.865418,0.802441,-0.116409,0.850017,0.635735,-0.141691,0.827950,0.867248,-0.060976,0.769419,0.669499,-0.099663,0.719742,0.555858,-0.127993,0.671014,0.464011,-0.149262,0.764286,0.924419,-0.055280,0.683887,0.734980,-0.091208,0.619480,0.622435,-0.121919,0.560715,0.533546,-0.145068,0.713435,1.013971,-0.055862,0.624315,0.855570,-0.091262,0.561195,0.751619,-0.118478,0.506344,0.663977,-0.138196,0.674875,1.119146,-0.060914,0.597874,1.019225,-0.094050,0.550208,0.950960,-0.113149,0.510502,0.883658,-0.126221
26,1777889591.020107,,-56.2706,10.9378,6.4366,16.0641,10.7805,47.0550,75.7113,7.7397,0.0107,150.8657,1527.6931,1318.1412,1187.8955,1114.7248,1083.1643,0.000000,0.895432,1.321685,0.000001,0.922177,1.138657,-0.033892,0.901956,0.953384,-0.059483,0.870369,0.793304,-0.082428,0.854878,0.648855,-0.106851,0.837642,0.873507,-0.063838,0.769799,0.675584,-0.101190,0.718492,0.563537,-0.124306,0.670296,0.477902,-0.140379,0.774730,0.935475,-0.068803,0.687436,0.745118,-0.103120,0.620595,0.631318,-0.126524,0.561854,0.547630,-0.144327,0.720339,1.026723,-0.075944,0.624989,0.868090,-0.107162,0.560268,0.761151,-0.127806,0.506416,0.676507,-0.143633,0.676850,1.130789,-0.084622,0.597552,1.031844,-0.114080,0.549908,0.963822,-0.128232,0.511560,0.900242,-0.137553
27,1777889591.086495,,-67.4970,25.0374,-11.2264,-17.6630,8.1935,38.8953,120.3791,5.0831,0.0063,151.7130,1553.8177,1293.4220,1169.3704,1102.5253,1084.8184,0.000000,0.892574,1.296653,0.000001,0.922943,1.119734,-0.041016,0.902831,0.944693,-0.071701,0.870023,0.794193,-0.098526,0.860540,0.650666,-0.126924,0.841496,0.869397,-0.078218,0.777784,0.668430,-0.120459,0.725928,0.557600,-0.145330,0.675749,0.471914,-0.162804,0.776773,0.931733,-0.081334,0.693930,0.740113,-0.122054,0.629235,0.624993,-0.147947,0.571783,0.535460,-0.167114,0.722539,1.022237,-0.086637,0.631393,0.863544,-0.122795,0.570461,0.758553,-0.145547,0.520257,0.670569,-0.162353,0.681400,1.123315,-0.093907,0.605148,1.025852,-0.127750,0.560133,0.958554,-0.145152,0.524059,0.893407,-0.156550
28,1777889591.152967,,-68.9921,23.6012,-1.4952,9.7312,9.5811,72.9154,89.7604,4.4337,0.0083,145.0069,1560.7074,1286.5549,1167.6360,1103.3644,1086.3564,0.000000,0.876872,1.307568,0.000001,0.918358,1.135229,-0.053218,0.905016,0.946474,-0.084507,0.872093,0.784182,-0.111038,0.856687,0.630007,-0.138678,0.834127,0.856945,-0.072116,0.777145,0.656461,-0.116189,0.728876,0.543668,-0.144589,0.680148,0.452671,-0.164857,0.766872,0.916623,-0.071750,0.691996,0.725606,-0.113893,0.630357,0.609026,-0.144512,0.574273,0.515486,-0.166478,0.714366,1.007825,-0.076112,0.630015,0.849753,-0.115607,0.571163,0.746069,-0.141734,0.521446,0.655633,-0.159796,0.676705,1.114104,-0.084009,0.606221,1.011297,-0.120632,0.562190,0.941059,-0.139836,0.525520,0.869847,-0.152017
