pair,n,mean_c1,mean_c2,mean_diff,stat,p
d+v_n+sigma_d vs d+dist2d,2,0.48300899703532924,0.9425401785046983,-0.45953118146936905,0.0,0.5
d+dist2d vs fusion,2,0.9425401785046983,0.9682590161833595,-0.025718837678661288,0.0,0.5
d_only vs fusion,2,0.4987537793960832,0.9682590161833595,-0.4695052367872764,0.0,0.5
