用户,L1字母准确率,L1字母数,L1数字准确率,L1数字数,L2词准确率,L2Top3词准确率,L2字符错误率,L2Top3字符错误率,L2样本数,L3词准确率,L3Top3词准确率,L3字符错误率,L3Top3字符错误率,L3样本数
exp3_U01,1.0,16,1.0,4,0.7333,0.8667,0.1045,0.0746,15,0.4,0.6,0.4186,0.3256,5
exp3_U02,0.9286,14,0.6667,6,0.8667,0.8667,0.1094,0.1094,15,0.6,0.6,0.2571,0.2571,5
exp3_U03,0.8571,14,0.6667,6,0.4,0.5333,0.3906,0.3125,15,0.4,0.4,0.4865,0.4324,5
exp3_U06,0.7778,9,0.8571,7,0.4667,0.5333,0.4333,0.3333,15,0.8,0.8,0.1042,0.1042,5
exp3_U07,1.0,16,1.0,4,0.6,0.6667,0.254,0.1111,15,0.2,0.2,0.5122,0.4878,5
总体,0.9275,69,0.8148,27,0.6133,0.6933,0.2547,0.1855,75,0.48,0.52,0.348,0.3137,25
